"Timestamp","1.  What is your age group  ","2. What is your occupation?","3. Which area do you currently live in?","4. Do you have access to internet?","5. What device do you mainly use for digital payments? ","6. Do you have access to a bank account or mobile wallet? ","7.  Have you ever used digital payment services (e.g., mobile banking, QR payments)? ","8.  How often do you use digital payments? ","9. What do you mainly use digital payments for?  (Select all that apply)","For the following statements, please select one option that best reflects your opinion( 1 = Strongly Agree, 2 = Agree, 3 = Neutral, 4 = Disagree, 5 = Strongly Disagree. ) [10.  I trust digital payment systems to be safe.]","For the following statements, please select one option that best reflects your opinion( 1 = Strongly Agree, 2 = Agree, 3 = Neutral, 4 = Disagree, 5 = Strongly Disagree. ) [11.  I believe digital payments are reliable for everyday use.]","For the following statements, please select one option that best reflects your opinion( 1 = Strongly Agree, 2 = Agree, 3 = Neutral, 4 = Disagree, 5 = Strongly Disagree. ) [12. I am concerned about security or fraud when using digital payments.]","13.   How familiar are you with digital payment systems? ","14. Have you heard about cryptocurrency?","15. How would you rate your understanding of cryptocurrency? ","16. What makes it difficult for you to use digital payments?  ( Select all that apply)","17. What would help you use digital financial systems more confidently? (Select all that apply","For the following statement, please select one option that best reflects your opinion( 1 = Strongly Agree, 2 = Agree, 3 = Neutral, 4 = Disagree, 5 = Strongly Disagree. )  [18. I feel ready to use more advanced digital financial systems in the future.]","19. If supported by clear rules and education, I would consider using cryptocurrency-based systems in the future. ","20. Overall, how ready do you think Bhutan is for advanced digital financial systems? "
"2026/01/28 5:01:27 PM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","most of the time ","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","2. Agree","Very familiar","Yes","Good","Poor internet","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 9:43:26 AM GMT+6","18-24","Student","Rural","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","5. Strongly disagree","5. Strongly disagree","5. Strongly disagree","Very familiar","Yes","Good","Poor internet;Lack of knowledge;Security concern;Complicated technology","Training or awareness programs;Better internet access","Strongly disagree","Yes","Very ready"
"2026/01/29 9:43:59 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping","2. Agree","1. Strongly agree","2. Agree","Very familiar","Yes","Basic","Poor internet","Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 9:44:04 AM GMT+6","18-24","Working professional","Urban","Yes","Smart phone","Yes","Yes","Daily","Bill and Services","2. Agree","2. Agree","2. Agree","Somewhat familiar","Yes","Good","Lack of knowledge","Training or awareness programs","Agree","Maybe","Somewhat ready"
"2026/01/29 9:45:11 AM GMT+6","18-24","self-employed/enterpreneur","Rural","Yes","Smart phone","Yes","Yes","Daily","Shopping;Business transaction;Transfer to others","2. Agree","1. Strongly agree","4. Disagree","Very familiar","Yes","Good","Poor internet;No difficulty","Training or awareness programs;Better internet access","Strongly agree","Yes","Very ready"
"2026/01/29 9:45:14 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping","1. Strongly agree","2. Agree","1. Strongly agree","Somewhat familiar","Yes","Basic","Poor internet","Training or awareness programs","Agree","Maybe","Somewhat ready"
"2026/01/29 9:46:19 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","5. Strongly disagree","Very familiar","Yes","Good","Poor internet","Training or awareness programs","Agree","Yes","Somewhat ready"
"2026/01/29 9:57:13 AM GMT+6","25-34","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Transfer to others","3. Neutral","2. Agree","3. Neutral","Very familiar","Yes","Very little","Poor internet;No difficulty","Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 9:57:49 AM GMT+6","18-24","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Daily","Bill and Services","2. Agree","1. Strongly agree","1. Strongly agree","Somewhat familiar","Yes","Basic","Poor internet;Security concern;Complicated technology","Training or awareness programs;Better internet access","Strongly agree","Yes","Somewhat ready"
"2026/01/29 9:58:11 AM GMT+6","18-24","Student","Rural","Yes","Smart phone","Yes","Yes","Occasionally","Shopping;Bill and Services","1. Strongly agree","1. Strongly agree","1. Strongly agree","Somewhat familiar","Yes","Good","Poor internet;Lack of knowledge;Security concern;Complicated technology","Training or awareness programs;Better internet access","Strongly agree","Maybe","Somewhat ready"
"2026/01/29 9:59:25 AM GMT+6","18-24","Student","Semi-Urban","Yes","Smart phone","Yes","Yes","Occasionally","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","2. Agree","Somewhat familiar","Yes","Basic","Poor internet","Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 10:03:55 AM GMT+6","18-24","Student","Semi-Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","2. Agree","2. Agree","2. Agree","Somewhat familiar","Yes","Basic","Poor internet;No difficulty","Better internet access","Agree","Maybe","Not very ready"
"2026/01/29 10:04:13 AM GMT+6","25-34","self-employed/enterpreneur","Semi-Urban","Yes","Both","Yes","Yes","Weekly","Shopping","1. Strongly agree","1. Strongly agree","1. Strongly agree","Somewhat familiar","Yes","Very little","Poor internet;No difficulty","Training or awareness programs;Better internet access","Strongly agree","Maybe","Somewhat ready"
"2026/01/29 10:07:48 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","2. Agree","2. Agree","2. Agree","Somewhat familiar","Yes","Basic","Lack of knowledge;Security concern","Better internet access","Agree","Maybe","Somewhat ready"
"2026/01/29 10:12:26 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","2. Agree","2. Agree","5. Strongly disagree","Very familiar","Yes","Good","Poor internet;Security concern;Complicated technology","Better internet access","Strongly agree","Yes","Very ready"
