timestamp,age_group,occupation,area,internet_access,device,bank_access,used_digital_payments,payment_frequency,payment_purpose,q10_trust_digital,q11_reliable_digital,q12_security_concern,q13_digital_familiarity,q14_heard_crypto,q15_crypto_understanding,q16_barriers,q17_what_helps,q18_feel_ready,q19_adopt_crypto,q20_bhutan_readiness,q13_digital_familiarity_num,q15_crypto_understanding_num,q19_adopt_crypto_num,readiness_score,barrier_poor_internet,barrier_lack_of_knowledge,barrier_security_concern,barrier_complicated_tech
2026-01-28 17:01:27-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,2.0,Very familiar,Yes,Good,Poor internet,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,4,4.0,3,15.0,1,0,0,0
2026-01-29 09:43:26-06:00,18-24,Student,Rural,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,1.0,1.0,5.0,Very familiar,Yes,Good,Poor internet;Lack of knowledge;Security concern;Complicated technology,Training or awareness programs;Better internet access,1,Yes,Very ready,4,4.0,3,12.0,1,1,1,1
2026-01-29 09:43:59-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping,4.0,5.0,2.0,Very familiar,Yes,Basic,Poor internet,Better internet access,4,Yes,Somewhat ready,4,3.0,3,14.0,1,0,0,0
2026-01-29 09:44:04-06:00,18-24,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Bill and Services,4.0,4.0,2.0,Somewhat familiar,Yes,Good,Lack of knowledge,Training or awareness programs,4,Maybe,Somewhat ready,3,4.0,2,13.0,0,1,0,0
2026-01-29 09:45:11-06:00,18-24,Self-Employed,Rural,Yes,Smart phone,Yes,Yes,Daily,Shopping;Business transaction;Transfer to others,4.0,5.0,4.0,Very familiar,Yes,Good,Poor internet;No difficulty,Training or awareness programs;Better internet access,5,Yes,Very ready,4,4.0,3,16.0,1,0,0,0
2026-01-29 09:45:14-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping,5.0,4.0,1.0,Somewhat familiar,Yes,Basic,Poor internet,Training or awareness programs,4,Maybe,Somewhat ready,3,3.0,2,12.0,1,0,0,0
2026-01-29 09:46:19-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,5.0,Very familiar,Yes,Good,Poor internet,Training or awareness programs,4,Yes,Somewhat ready,4,4.0,3,15.0,1,0,0,0
2026-01-29 09:57:13-06:00,25-34,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Transfer to others,3.0,4.0,3.0,Very familiar,Yes,Very little,Poor internet;No difficulty,Better internet access,4,Yes,Somewhat ready,4,2.0,3,13.0,1,0,0,0
2026-01-29 09:57:49-06:00,18-24,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Daily,Bill and Services,4.0,5.0,1.0,Somewhat familiar,Yes,Basic,Poor internet;Security concern;Complicated technology,Training or awareness programs;Better internet access,5,Yes,Somewhat ready,3,3.0,3,14.0,1,0,1,1
2026-01-29 09:58:11-06:00,18-24,Student,Rural,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Bill and Services,5.0,5.0,1.0,Somewhat familiar,Yes,Good,Poor internet;Lack of knowledge;Security concern;Complicated technology,Training or awareness programs;Better internet access,5,Maybe,Somewhat ready,3,4.0,2,14.0,1,1,1,1
2026-01-29 09:59:25-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Basic,Poor internet,Better internet access,4,Yes,Somewhat ready,3,3.0,3,13.0,1,0,0,0
2026-01-29 10:03:55-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Basic,Poor internet;No difficulty,Better internet access,4,Maybe,Very ready,3,3.0,2,12.0,1,0,0,0
2026-01-29 10:04:13-06:00,25-34,Self-Employed,Semi-Urban,Yes,Both,Yes,Yes,Weekly,Shopping,5.0,5.0,1.0,Somewhat familiar,Yes,Very little,Poor internet;No difficulty,Training or awareness programs;Better internet access,5,Maybe,Somewhat ready,3,2.0,2,12.0,1,0,0,0
2026-01-29 10:07:48-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Basic,Lack of knowledge;Security concern,Better internet access,4,Maybe,Somewhat ready,3,3.0,2,12.0,0,1,1,0
2026-01-29 10:12:26-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,4.0,5.0,Very familiar,Yes,Good,Poor internet;Security concern;Complicated technology,Better internet access,5,Yes,Very ready,4,4.0,3,16.0,1,0,1,1
2026-01-29 10:12:26-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,4.0,1.0,Very familiar,Yes,Basic,Poor internet;Lack of knowledge;Security concern;Complicated technology,Training or awareness programs,5,Yes,Somewhat ready,4,3.0,3,15.0,1,1,1,1
2026-01-29 10:22:20-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services,4.0,5.0,4.0,Somewhat familiar,Yes,Very little,Poor internet;Lack of knowledge;Security concern,Training or awareness programs;Better internet access,4,Yes,Very ready,3,2.0,3,12.0,1,1,1,0
